Fecha/Hora            : 03/08/2023 17:37:05
No. de Error          : SP-1104
Descripción del error : El archivo no existe.
Detalle del error     : java.io.FileNotFoundException: .\src\main\java\sisPlanDatos\Usuario.dat (The system cannot find the path specified)
Clase                 : [sisPlanDAL.ManejadorArchivosDAL]
Método                : [abrirArchivoDatos]

Fecha/Hora            : 03/08/2023 17:37:06
No. de Error          : SP-1104
Descripción del error : El archivo no existe.
Detalle del error     : java.io.FileNotFoundException: .\src\main\java\sisPlanDatos\Usuario.dat (The system cannot find the path specified)
Clase                 : [sisPlanDAL.ManejadorArchivosDAL]
Método                : [abrirArchivoDatos]

Fecha/Hora            : 03/08/2023 17:39:49
No. de Error          : SP-1104
Descripción del error : El archivo no existe.
Detalle del error     : java.io.FileNotFoundException: .\src\main\java\sisPlanDatos\Usuario.dat (The system cannot find the path specified)
Clase                 : [sisPlanDAL.ManejadorArchivosDAL]
Método                : [abrirArchivoDatos]

Fecha/Hora            : 03/08/2023 17:39:50
No. de Error          : SP-1104
Descripción del error : El archivo no existe.
Detalle del error     : java.io.FileNotFoundException: .\src\main\java\sisPlanDatos\Usuario.dat (The system cannot find the path specified)
Clase                 : [sisPlanDAL.ManejadorArchivosDAL]
Método                : [abrirArchivoDatos]

Fecha/Hora            : 03/08/2023 17:40:28
No. de Error          : SP-1104
Descripción del error : El archivo no existe.
Detalle del error     : java.io.FileNotFoundException: .\src\main\java\sisPlanDatos\Usuario.dat (The system cannot find the path specified)
Clase                 : [sisPlanDAL.ManejadorArchivosDAL]
Método                : [abrirArchivoDatos]

Fecha/Hora            : 03/08/2023 17:40:30
No. de Error          : SP-1104
Descripción del error : El archivo no existe.
Detalle del error     : java.io.FileNotFoundException: .\src\main\java\sisPlanDatos\Usuario.dat (The system cannot find the path specified)
Clase                 : [sisPlanDAL.ManejadorArchivosDAL]
Método                : [abrirArchivoDatos]

Fecha/Hora            : 03/08/2023 17:43:05
No. de Error          : SP-1104
Descripción del error : El archivo no existe.
Detalle del error     : java.io.FileNotFoundException: .\src\main\java\sisPlanDatos\Usuario.dat (The system cannot find the path specified)
Clase                 : [sisPlanDAL.ManejadorArchivosDAL]
Método                : [abrirArchivoDatos]

Fecha/Hora            : 03/08/2023 17:43:08
No. de Error          : SP-1104
Descripción del error : El archivo no existe.
Detalle del error     : java.io.FileNotFoundException: .\src\main\java\sisPlanDatos\Usuario.dat (The system cannot find the path specified)
Clase                 : [sisPlanDAL.ManejadorArchivosDAL]
Método                : [abrirArchivoDatos]

Fecha/Hora            : 03/08/2023 17:45:14
No. de Error          : SP-1104
Descripción del error : El archivo no existe.
Detalle del error     : java.io.FileNotFoundException: .\src\main\java\sisPlanDatos\Usuario.dat (The system cannot find the path specified)
Clase                 : [sisPlanDAL.ManejadorArchivosDAL]
Método                : [abrirArchivoDatos]

Fecha/Hora            : 03/08/2023 17:45:17
No. de Error          : SP-1104
Descripción del error : El archivo no existe.
Detalle del error     : java.io.FileNotFoundException: .\src\main\java\sisPlanDatos\Usuario.dat (The system cannot find the path specified)
Clase                 : [sisPlanDAL.ManejadorArchivosDAL]
Método                : [abrirArchivoDatos]

Fecha/Hora            : 03/08/2023 17:45:46
No. de Error          : SP-1104
Descripción del error : El archivo no existe.
Detalle del error     : java.io.FileNotFoundException: .\src\main\java\sisPlanDatos\Usuario.dat (The system cannot find the path specified)
Clase                 : [sisPlanDAL.ManejadorArchivosDAL]
Método                : [abrirArchivoDatos]

Fecha/Hora            : 03/08/2023 17:45:48
No. de Error          : SP-1104
Descripción del error : El archivo no existe.
Detalle del error     : java.io.FileNotFoundException: .\src\main\java\sisPlanDatos\Usuario.dat (The system cannot find the path specified)
Clase                 : [sisPlanDAL.ManejadorArchivosDAL]
Método                : [abrirArchivoDatos]

Fecha/Hora            : 03/08/2023 17:46:23
No. de Error          : SP-1104
Descripción del error : El archivo no existe.
Detalle del error     : java.io.FileNotFoundException: .\src\main\java\sisPlanDatos\Usuario.dat (The system cannot find the path specified)
Clase                 : [sisPlanDAL.ManejadorArchivosDAL]
Método                : [abrirArchivoDatos]

Fecha/Hora            : 03/08/2023 17:46:24
No. de Error          : SP-1104
Descripción del error : El archivo no existe.
Detalle del error     : java.io.FileNotFoundException: .\src\main\java\sisPlanDatos\Usuario.dat (The system cannot find the path specified)
Clase                 : [sisPlanDAL.ManejadorArchivosDAL]
Método                : [abrirArchivoDatos]

Fecha/Hora            : 03/08/2023 17:46:38
No. de Error          : SP-1104
Descripción del error : El archivo no existe.
Detalle del error     : java.io.FileNotFoundException: .\src\main\java\sisPlanDatos\Usuario.dat (The system cannot find the path specified)
Clase                 : [sisPlanDAL.ManejadorArchivosDAL]
Método                : [abrirArchivoDatos]

Fecha/Hora            : 03/08/2023 17:47:01
No. de Error          : SP-1104
Descripción del error : El archivo no existe.
Detalle del error     : java.io.FileNotFoundException: .\src\main\java\sisPlanDatos\Usuario.dat (The system cannot find the path specified)
Clase                 : [sisPlanDAL.ManejadorArchivosDAL]
Método                : [abrirArchivoDatos]

Fecha/Hora            : 03/08/2023 17:53:07
No. de Error          : SP-1104
Descripción del error : El archivo no existe.
Detalle del error     : java.io.FileNotFoundException: .\src\main\java\sisPlanDatos\Usuario.dat (The system cannot find the path specified)
Clase                 : [sisPlanDAL.ManejadorArchivosDAL]
Método                : [abrirArchivoDatos]

Fecha/Hora            : 03/08/2023 17:53:52
No. de Error          : SP-1104
Descripción del error : El archivo no existe.
Detalle del error     : java.io.FileNotFoundException: .\src\main\java\sisPlanDatos\Usuario.dat (The system cannot find the path specified)
Clase                 : [sisPlanDAL.ManejadorArchivosDAL]
Método                : [abrirArchivoDatos]

Fecha/Hora            : 03/08/2023 17:53:59
No. de Error          : SP-1104
Descripción del error : El archivo no existe.
Detalle del error     : java.io.FileNotFoundException: .\src\main\java\sisPlanDatos\Usuario.dat (The system cannot find the path specified)
Clase                 : [sisPlanDAL.ManejadorArchivosDAL]
Método                : [abrirArchivoDatos]

Fecha/Hora            : 03/08/2023 17:54:43
No. de Error          : SP-1104
Descripción del error : El archivo no existe.
Detalle del error     : java.io.FileNotFoundException: .\src\main\java\sisPlanDatos\Usuario.dat (The system cannot find the path specified)
Clase                 : [sisPlanDAL.ManejadorArchivosDAL]
Método                : [abrirArchivoDatos]

Fecha/Hora            : 03/08/2023 17:54:45
No. de Error          : SP-1104
Descripción del error : El archivo no existe.
