A000;A00;COLERA DEBIDO A VIBRIO CHOLERAE O1, BIOTIPO CHOLERAE
A001;A00;COLERA DEBIDO A VIBRIO CHOLERAE O1, BIOTIPO EL TOR
A009;A00;COLERA NO ESPECIFICADO
A010;A01;FIEBRE TIFOIDEA
A011;A01;FIEBRE PARATIFOIDEA A
A012;A01;FIEBRE PARATIFOIDEA B
A013;A01;FIEBRE PARATIFOIDEA C
A014;A01;FIEBRE PARATIFOIDEA, NO ESPECIFICADA
A020;A02;ENTERITIS DEBIDA A SALMONELLA
A021;A02;SEPTICEMIA DEBIDA A SALMONELLA
A022;A02;INFECCIONES LOCALIZADAS DEBIDA A SALMONELLA
A028;A02;OTRAS INFECCIONES ESPECIFICADAS COMO DEBIDAS A SALMONELLA
A029;A02;INFECCI�N DEBIDA A SALMONELLA NO ESPECIFICADA
A030;A03;SHIGELOSIS DEBIDA A SHIGELLA DYSENTERIAE
A031;A03;SHIGELOSIS DEBIDA A SHIGELLA FLEXNERI
A032;A03;SHIGELOSIS DEBIDA A SHIGELLA BOYDII
A033;A03;SHIGELOSIS DEBIDA A SHIGELLA SONNEI
A038;A03;OTRAS SHIGELOSIS
A039;A03;SHIGELOSIS DE TIPO NO ESPECIFICADO
A040;A04;INFECCION DEBIDA A ESCHERICHIA COLI ENTEROPATOGENA
A041;A04;INFECCION DEBIDA A ESCHERICHIA COLI ENTEROTOXIGENA
A042;A04;INFECCION DEBIDA A ESCHERICHIA COLI ENTEROINVASIVA
A043;A04;INFECCION DEBIDA A ESCHERICHIA COLI ENTEROHEMORRAGICA
A044;A04;OTRAS INFECCIONES INTESTINALES DEBIDAS A ESCHERICHIA COLI
A045;A04;ENTERITIS DEBIDA A CAMPYLOBACTER
A046;A04;ENTERITIS DEBIDA A YERSINIA ENTEROCOLITICA
A047;A04;ENTEROCOLITIS DEBIDA A CLOSTRIDIUM DIFFICILE
A048;A04;OTRAS INFECCIONES INTESTINALES BACTERIANAS ESPECIFICADAS
A049;A04;INFECCION INTESTINAL BACTERIANA, NO ESPECIFICADA
A050;A05;INTOXICACION ALIMENTARIA ESTAFILOCOCICA
A051;A05;BOTULISMO
A052;A05;INTOXICACION ALIMENTARIA DEBIDA A CLOSTRIDIUM PERFRINGENS [CLOSTRIDIUM WELCHII]
A053;A05;INTOXICACION ALIMENTARIA DEBIDA A VIBRIO PARAHAEMOLYTICUS
A054;A05;INTOXICACION ALIMENTARIA DEBIDA A BACILLUS CEREUS
