1;3 A OFTENO;0.001;123;Env. X 5 mL;1;2011-09-21;E18788;311
2;3-GEL;;146;Caja Sachet X 10 mL;20;2014-03-05;E21593;122
3;A FOLIC;0.5mg;152;Caja Tab.;30;2015-04-19;N21715;228
4;AB AMBROMOX;300mg;74;Vial + Jer. + Aguja;1;2013-04-23;N20639;167
5;AB AMBROMOX;600mg;99;Caja Vial;1;2012-11-13;N20372;167
6;AB AMBROMOX;1.2g;74;Vial + Jer. + Aguja;1;2012-11-13;N20373;167
7;AB BRONPAMOX;300mg;99;Vial;1;2013-02-06;N20542;167
8;AB BRONPAMOX;600mg;99;Caja Vial;1;2013-02-05;N20541;167
9;AB BRONPAMOX;1.2g;103;Caja Vial;1;2013-02-05;N20540;167
10;AB BRONCOL;300mg;99;Amp.;1;2010-05-29;N12076;282
11;AB BRONCOL;600mg;99;Amp.;1;2010-04-29;N12075;282
12;AB BRONCOL;1.2g;99;Amp.;1;2010-09-04;N13562;282
13;ABAVAN;300mg;152;Fco. Tab.;60;2013-04-02;E20532;197
14;ABILIFY;15mg;152;Caja Tab.;10;2014-02-04;E16195;51
15;ABILIFY;15mg;152;Caja Tab.;20;2014-02-04;E16195;51
16;ABILIFY;20mg;152;Caja Tab.;10;2014-02-04;E16196;51
17;ABILIFY;30mg;152;Caja Tab.;10;2014-02-05;E16198;51
18;ABIOCEF;500mg;8;Caja Cap.;100;2015-03-30;N21676;218
19;ABUMOX;500mg;8;Caja Cap.;100;2012-05-14;N23490;257
20;ABUMOX AB;;8;Caja Cap.;200;2012-03-29;N23383;257
21;ACARIL S;0.3;79;Fco. X 60 mL;1;2012-10-28;N16524;282
22;IRBELAB;150mg;152;Caja Tab.;14;2013-04-30;N24586;431
23;IRBELAB;300mg;152;Caja Tab.;14;2013-04-30;N24584;431
24;ACCURETIC;20mg+12.5mg;152;Caja Tab.;14;2012-03-25;E10137;331
25;ACEBUMIN;0.2;128;Caja Vial X 50 mL;1;2013-02-03;BE00141;6
26;ACEMET;90mg;8;Caja Cap.;100;2013-11-13;E21239;249
27;ACEPOT;;128;Caja Amp.;1;2014-01-07;N25411;421
28;ACERDIL;10mg;162;Caja Tab.;30;2013-06-23;E20782;167
29;ACERDIL;20mg;162;Caja Tab.;30;2013-06-23;E20786;167
30;ACETAK;250mg;152;Caja Tab.;20;2014-03-18;N25633;282
31;ACETAK;250mg;152;Caja Tab.;100;2014-03-18;N25633;282
32;ACETAZOLAMIDA;250mg;152;Caja Tab.;30;2013-03-28;NG5533;201
33;ACETAZOLAMIDA;250mg;152;Caja Tab.;30;2012-06-14;NG3379;167
34;ACETOSODIUM;0.2722;128;Caja Amp. X 20 mL;1;2013-03-02;N13903;282
35;ACI END;;141;Fco. X 120 mL;1;2010-06-06;N21809;177
36;ACI END;;152;Fco. Tab.;120;2010-03-01;N21605;177
37;ACI TIP;;35;Caja Comp.;20;2014-03-09;E11646;381
38;ACICLOVIR;800mg;152;Caja Tab.;12;2013-03-05;NG5510;201
39;ACICLOVIR;200mg;152;Caja Tab.;100;2015-01-17;NG2271;216
40;ACICLOVIR;400mg;152;Caja Tab.;100;2011-09-21;NG5091;216
41;ACICLOVIR;200mg;152;Caja Tab.;24;2009-02-18;EG4272;77
42;ACICLOVIR;0.05;171;Tubo X 15 g;1;2003-11-24;EG2423;159
43;ACICLOVIR;0.03;172;Tubo X 3.5 g;1;2009-12-15;NG2229;255
44;ACICLOVIR;200mg;152;Caja Tab.;100;2012-02-21;NG3216;300
45;ACICLOVIR;200mg;152;Caja Tab.;20;2011-07-05;NG4997;369
46;ACICLOVIR;800mg;152;Caja Tab.;10;2012-06-18;NG5360;369
47;ACICLOVIR;200mg;28;Caja Comp.;100;2013-03-12;EG5742;420
48;ACICLOVIR;200mg;152;Caja Tab.;20;2009-01-28;NG4219;177
49;ACICLOVIR;200mg;152;Caja Tab.;100;2010-08-09;NG1292;167
50;ACICLOVIR;800mg;152;Caja Tab.;10;2012-09-07;NG0645;167
51;ACICLOVIR;0.05;42;Tubo X 5 g;1;2013-06-21;NG0835;167
52;ACICLOVIR;0.05;42;Caja Tbo. X 5 g;1;2011-11-27;NG1521;421
53;ACICLOVIR;200mg;152;Caja Tab.;60;2013-11-11;NG1835;421
54;ACID FARVET;;160;Caja Tab.;4;2013-05-09;N24605;170
55;ACIDMARFAN;400mg+400mg/5mL;141;Caja Fco. X 120 mL;1;2013-11-03;N25173;421
56;ACIDO ACETILSALICILICO;100mg;152;Caja Tab.;100;2012-09-23;NG3456;282
57;ACIDO ALENDRONICO;70mg;152;Caja Tab.;4;2014-07-20;NG6153;177
58;ACIDO ALENDRONICO;70mg;152;Caja Tab.;4;2013-08-08;NG3864;216
59;ACIDO ALENDRONICO;70mg;152;Caja Tab.;4;2011-03-31;EG4984;369
60;ACIDO ALENDRONICO;70mg;152;Caja Tab.;20;2014-12-13;NG4544;421
61;ACIDO FOLICO;800mg;152;Caja Tab.;50;2005-06-12;EG3073;114
62;ACIDO FOLICO;800mg;152;Caja Tab.;100;2005-06-12;EG3073;114
63;ACIDO FOLICO;0.5mg;152;Caja Tab.;30;2012-05-21;NG5341;167
64;ACIDO FOLICO;0.5mg;152;Caja Tab.;100;2015-06-30;NG1269;228
65;ACIDO PAMIDRONICO;90mg;92;Amp. + Solv.;1;2013-11-27;EG4180;330
66;ACIDO ZOLEDRONICO;4mg;74;Amp.;1;2009-08-26;EG4428;330
67;ACIDOR SUPREMO;;141;Fco. X 150 mL;1;2012-12-14;N24142;404
68;ACIDPRAZOL;30mg;16;Caja Cap.;30;2013-11-25;E21254;404
69;ACI-PRAL;30mg;8;Caja Cap.;30;2012-08-06;N23726;225
70;ACIRAX;400mg;152;Caja Tab.;100;2013-08-19;E20929;422
71;ACLASTA;5mg/100mL;128;Fco. X 100 mL;1;2010-12-05;E17907;307
72;ACNIFEN;;52;Tubo X 20 g;1;2011-08-23;N22779;205
73;ACNOTIN;10mg;28;Caja Comp.;30;2009-07-26;E16635;34
74;ACNOTIN;20mg;28;Caja Comp.;30;2009-08-11;E16657;34
75;ACT HIB;;92;Caja Fco. Amp. + Jer. x 5mL;10;2013-06-27;BE00157;396
76;ACTEIN;600mg;157;Caja Tab.;30;2013-11-10;E21220;249
77;ACTEMRA;80mg/4mL;128;Caja Vial X 4 mL;1;2013-10-15;BE00552;379
78;ACTEMRA;200mg/10mL;128;Caja Vial;1;2013-11-14;BE00559;379
79;ACTIRELAX;500mg;74;Fco. Amp.;1;2010-08-09;E17537;206
80;ACTILYSE;50mg;99;Amp.;1;2010-11-29;BE00315;52
81;ACUAFIL OFTENO;0.014;26;Env. X 15 mL;1;2012-01-12;E19078;311
